URL,Cateogria,Palabras Encontradas
https://www.netflix.com/,Otros,
https://www.apple.com/la/,Otros,-summary-accesorios-cover
https://www.disneyplus.com/,plataforma_peliculas,-movies-movies-summary-share-code
https://hushpuppies.cr/,Otros,-shop-productos-summary-men-vestir
https://www.bershka.com/,Otros,
https://github.com/,tecnologia,-review-summary-animation-men-like-user-software-developer-developers-code-dashboard
https://www.hbomax.com/,Otros,
https://www.nike.com/,tienda_ropa,-play-summary-products-moda-men-offer-preferences-services-information
Error,sitios_no_visitados,
https://www.hm.com/cr/,Otros,
https://bookshop.org/,Otros,-shop-book
https://www.walmart.co.cr/,Otros,-productos-men-size-developer-developers-book-author
https://www.bestbuy.com/,Otros,
https://www.udemy.com/,plataforma_peliculas,-shop-play-billboard-review-summary-men-offer-brand-notification-account-user-story-comment-share-profile-account-programming-android-code-book-cover
https://store.steampowered.com/,Otros,-play-summary-men-share
https://www.epicgames.com/,Otros,
https://www.unrealengine.com/en-US,tienda_ropa,-play-summary-animation-moda-men-gala-size-gala-account-user-share-account-cpu-cover
https://twitter.com/,Otros,-user-book-cover
https://web.telegram.org/,Otros,-user-share
https://www.ebay.com/,tienda_ropa,-summary-men-ropa-deportivo-user
https://www.github.com/,Otros,
https://www.tribunnews.com/,tienda_ropa,-play-review-summary-men-tela-size-brand-account-user-account-services-code-network
https://www.stackoverflow.com/,plataforma_peliculas,-play-review-summary-animation-men-collection-size-account-user-comment-password-post-share-account-programming-developer-developers-code-network
https://www.mail.ru/,Otros,
https://www.okezone.com/,plataforma_peliculas,-play-billboard-review-summary-men-size-account-user-share-profile-account-services-code-book-author
https://www.office.com/,Otros,-men-brand-share-cpu-book
https://www.msn.com/,Otros,
https://www.paypal.com/,Otros,
https://www.bilibili.com/,Otros,
https://www.hao123.com/,plataforma_peliculas,-play-series-cast-summary-series-animation-men-collection-size-brand-like-user-story-comment-share-photos-code-cover-author
https://www.imdb.com/,plataforma_peliculas,-movies-movies-review-summary-men-author
https://www.t.co/,Otros,
https://www.fandom.com/,plataforma_peliculas,-movies-movies-summary-men
https://www.imgur.com/,Otros,
https://www.163.com/,Otros,
https://www.wordpress.com/,Otros,
https://www.apple.com/,Otros,-shop-men-accessories-cover
https://www.soso.com/,Otros,
https://www.booking.com/,Otros,
https://www.adobe.com/,Otros,
https://www.pinterest.com/,Otros,-play-summary-share-android-book-cover
https://www.amazon.de/,Otros,
